,qid,question,question_seg,Guessed_SO_Pair
0,1,储蓄卡（贷记卡）账户查询,储蓄卡|贷记卡|账户|查询|,"[[('储蓄卡', '查询'), 0.5882352941176471], [('账户', '查询'), 0.2647058823529412], [('储蓄卡', '账户'), 0.058823529411764705], [('贷记卡', '查询'), 0.029411764705882353], [('储蓄卡', '贷记卡'), 0.029411764705882353], [('账户', '贷记卡'), 0.029411764705882353]]"
1,2,信用卡（借记卡）账户查询,信用卡|借记卡|账户|查询|,"[[('信用卡', '查询'), 0.9761904761904762], [('信用卡', '借记卡'), 0.011904761904761904], [('借记卡', '查询'), 0.011904761904761904]]"
2,3,如何判断储蓄卡是普卡、金卡、铂金卡,如何|判断|储蓄卡|是|普卡|金卡|铂金卡|,"[[('铂金卡', '金卡'), 0.375], [('金卡', '判断'), 0.125], [('金卡', '普卡'), 0.125], [('普卡', '判断'), 0.125], [('铂金卡', '判断'), 0.125], [('铂金卡', '普卡'), 0.125]]"
3,4,储蓄卡有什么等级,储蓄卡|有|什么|等级|,"[('储蓄卡', '等级'), 1]"
4,5,银行储蓄卡/存折的卡号（账号）位数,银行|储蓄卡|存折|的|卡号|账号|位数|,"[[('卡号', '账号'), 0.15789473684210525], [('账号', '存折'), 0.15789473684210525], [('卡号', '存折'), 0.15789473684210525], [('账号', '位数'), 0.10526315789473684], [('卡号', '位数'), 0.10526315789473684], [('位数', '存折'), 0.10526315789473684], [('银行', '账号'), 0.05263157894736842], [('银行', '位数'), 0.05263157894736842], [('银行', '卡号'), 0.05263157894736842], [('银行', '存折'), 0.05263157894736842]]"
5,6,储蓄卡账户查询流程（个人版）,储蓄卡|账户|查询|流程|个人版|,"[[('储蓄卡', '查询'), 0.6451612903225806], [('账户', '查询'), 0.2903225806451613], [('储蓄卡', '账户'), 0.06451612903225806]]"
6,7,储蓄卡账户查询流程（普通版）,储蓄卡|账户|查询|流程|普通版|,"[[('储蓄卡', '查询'), 0.8333333333333334], [('普通版', '查询'), 0.125], [('储蓄卡', '普通版'), 0.041666666666666664]]"
7,8,储蓄卡卡片状态查询,储蓄卡|卡片状态|查询|,"[('卡片状态', '查询'), 1]"
8,9,储蓄卡账户查询流程（手机银行）,储蓄卡|账户|查询|流程|手机银行|,"[[('储蓄卡', '查询'), 0.38461538461538464], [('手机银行', '查询'), 0.34615384615384615], [('账户', '查询'), 0.17307692307692307], [('手机银行', '账户'), 0.038461538461538464], [('储蓄卡', '账户'), 0.038461538461538464], [('手机银行', '储蓄卡'), 0.019230769230769232]]"
9,10,信用卡账单的注意事项,信用卡|账单|的|注意事项|,"[('信用卡', '注意事项'), 1]"
10,11,信用卡历史账单及明细查询,信用卡|历史账单|及|明细|查询|,"[[('信用卡', '查询'), 0.8118811881188119], [('信用卡', '明细'), 0.10891089108910891], [('查询', '明细'), 0.04950495049504951], [('信用卡', '历史账单'), 0.009900990099009901], [('历史账单', '明细'), 0.009900990099009901], [('历史账单', '查询'), 0.009900990099009901]]"
11,12,查询信用卡还款明细,查询|信用卡|还款|明细|,"[[('信用卡', '查询'), 0.5774647887323944], [('信用卡', '还款'), 0.2676056338028169], [('信用卡', '明细'), 0.07746478873239436], [('查询', '还款'), 0.035211267605633804], [('查询', '明细'), 0.035211267605633804], [('还款', '明细'), 0.007042253521126761]]"
12,13,信用卡手机还款,信用卡|手机|还款|,"[[('信用卡', '还款'), 0.9047619047619048], [('信用卡', '手机'), 0.047619047619047616], [('手机', '还款'), 0.047619047619047616]]"
13,14,银行小M还款说明,银行小M|还款|说明|,"[('银行小M', '还款'), 1]"
14,15,“银行小M”介绍及下载,银行小M|介绍|及|下载|,"[('银行小M', '下载'), 1]"
15,16,银行小M电影优惠,银行小M|电影|优惠|,"[('电影', '优惠'), 1]"
16,17,信用卡手机银行网页版还款,信用卡|手机银行|网页版|还款|,"[[('信用卡', '还款'), 0.7755102040816326], [('手机银行', '还款'), 0.16326530612244897], [('信用卡', '手机银行'), 0.061224489795918366]]"
17,18,信用卡手机银行客户端还款,信用卡|手机银行|客户端|还款|,"[[('信用卡', '还款'), 0.7755102040816326], [('手机银行', '还款'), 0.16326530612244897], [('信用卡', '手机银行'), 0.061224489795918366]]"
18,19,如何设置信用卡自动还款功能,如何|设置|信用卡|自动还款|功能|,"[[('信用卡', '功能'), 0.6153846153846154], [('信用卡', '设置'), 0.23076923076923078], [('功能', '设置'), 0.15384615384615385]]"
19,20,小M理财还款方式设置,小M理财|还款方式|设置|,"[('小M理财', '还款方式'), 1]"
20,21,储蓄卡收到钱后没有短信通知是什么原因,储蓄卡|收到|钱|后|没有|短信通知|是|什么|原因|,"[[('没有', '收到'), 0.16666666666666666], [('短信通知', '没有'), 0.16666666666666666], [('钱', '没有'), 0.16666666666666666], [('短信通知', '收到'), 0.16666666666666666], [('钱', '收到'), 0.16666666666666666], [('短信通知', '钱'), 0.16666666666666666]]"
21,22,如何开通储蓄卡短信通知服务,如何|开通|储蓄卡|短信通知|服务|,"[[('短信通知', '服务'), 0.5], [('短信通知', '开通'), 0.375], [('开通', '服务'), 0.125]]"
22,23,手机银行有消息中心的功能吗,手机银行|有|消息|中心|的|功能|吗|,"[('手机银行', '功能'), 1]"
23,24,手机银行客户端下载,手机银行|客户端|下载|,"[[('手机银行', '下载'), 0.4], [('客户端', '下载'), 0.4], [('手机银行', '客户端'), 0.2]]"
24,25,超级网银操作的流程（手机银行）,超级网银|操作|的|流程|手机银行|,"[[('手机银行', '流程'), 0.5], [('手机银行', '操作'), 0.3], [('流程', '操作'), 0.2]]"
25,26,超级网银是否收取手续费,超级网银|是否|收取手续费|,
26,27,超级网银转账汇款到账时间,超级网银|转账汇款|到账时间|,"[('转账汇款', '到账时间'), 1]"
27,28,超级网银转账汇款是否有短信通知,超级网银|转账汇款|是否|有|短信通知|,
28,29,办理超级网银业务是否有时间限制,办理|超级网银|业务|是否|有|时间|限制|,"[[('办理', '业务'), 0.6666666666666666], [('办理', '时间'), 0.2222222222222222], [('时间', '业务'), 0.1111111111111111]]"
29,30,4006099095是什么,4006099095|是|什么|,
30,31,额度内电话语音办理结汇有什么要求,额度内|电话|语音|办理|结汇|有|什么|要求|,"[[('办理', '结汇'), 0.42857142857142855], [('办理', '额度内'), 0.2857142857142857], [('额度内', '结汇'), 0.2857142857142857]]"
31,32,结售汇办理的时间范围,结售汇|办理|的|时间范围|,"[[('结售汇', '时间范围'), 0.3333333333333333], [('办理', '时间范围'), 0.3333333333333333], [('办理', '结售汇'), 0.3333333333333333]]"
32,33,结售汇支持哪些币种,结售汇|支持|哪些|币种|,"[('结售汇', '币种'), 1]"
33,34,如何通过境内居民额度内（年度等值5万美金）自助渠道办理购汇,如何|通过|境内|居民|额度内|年度|等值|5万|美金|自助渠道|办理|购汇|,"[('额度内', '购汇'), 1]"
34,35,如何通过境内居民额度内（年度等值5万美金）柜台办理购汇,如何|通过|境内|居民|额度内|年度|等值|5万|美金|柜台|办理|购汇|,"[[('额度内', '购汇'), 0.7777777777777778], [('额度内', '年度'), 0.1111111111111111], [('年度', '购汇'), 0.1111111111111111]]"
35,36,如何通过境外居民办理外汇购汇【人民币兑换外币】,如何|通过|境外|居民|办理|外汇|购汇|人民币兑换|外币|,"[[('境外', '人民币兑换'), 0.16666666666666666], [('境外', '购汇'), 0.16666666666666666], [('外汇', '境外'), 0.16666666666666666], [('购汇', '人民币兑换'), 0.16666666666666666], [('外汇', '人民币兑换'), 0.16666666666666666], [('外汇', '购汇'), 0.16666666666666666]]"
36,37,额度内手机银行办理结汇有什么要求,额度内|手机银行|办理|结汇|有|什么|要求|,"[('办理', '结汇'), 1]"
37,38,未成年人（指境内个人）是否可以凭户口本办理结售汇,未成年人|指|境内个人|是否|可以|凭|户口本|办理|结售汇|,"[[('境内个人', '未成年人'), 0.16666666666666666], [('办理', '境内个人'), 0.16666666666666666], [('境内个人', '结售汇'), 0.16666666666666666], [('办理', '未成年人'), 0.16666666666666666], [('结售汇', '未成年人'), 0.16666666666666666], [('办理', '结售汇'), 0.16666666666666666]]"
38,39,结售汇是否有最低金额的限制,结售汇|是否|有|最低金额|的|限制|,"[[('最低金额', '限制'), 0.5], [('结售汇', '最低金额'), 0.25], [('结售汇', '限制'), 0.25]]"
39,40,周末办理结售汇业务的注意事项,周末|办理|结售汇|业务|的|注意事项|,"[[('办理', '业务'), 0.75], [('办理', '结售汇'), 0.125], [('结售汇', '业务'), 0.125]]"
40,41,如何办理信用卡,如何|办理|信用卡|,"[('信用卡', '办理'), 1]"
41,42,月日均资产的计算方法,月日均资产|的|计算方法|,"[('月日均资产', '计算方法'), 1]"
42,43,资产核算范围是什么,资产核算|范围|是|什么|,"[('资产核算', '范围'), 1]"
43,44,新客户如何申请信用卡,新客户|如何|申请|信用卡|,"[[('信用卡', '申请'), 0.7857142857142857], [('信用卡', '新客户'), 0.14285714285714285], [('新客户', '申请'), 0.07142857142857142]]"
44,45,已持主卡客户如何加办主卡,已持|主卡|客户|如何|加办|主卡|,"[[('主卡', '加办'), 0.16666666666666666], [('客户', '主卡'), 0.16666666666666666], [('主卡', '已持'), 0.16666666666666666], [('客户', '加办'), 0.16666666666666666], [('加办', '已持'), 0.16666666666666666], [('客户', '已持'), 0.16666666666666666]]"
45,46,如何办理附属卡,如何|办理|附属卡|,"[('办理', '附属卡'), 1]"
46,47,如何推荐亲友办卡,如何|推荐|亲友|办卡|,"[[('办卡', '亲友'), 0.3333333333333333], [('办卡', '推荐'), 0.3333333333333333], [('亲友', '推荐'), 0.3333333333333333]]"
47,48,查询信用卡申请进度,查询|信用卡申请|进度|,"[('信用卡申请', '查询'), 1]"
48,49,储蓄卡损坏换卡手续费,储蓄卡|损坏|换卡|手续费|,"[[('储蓄卡', '换卡'), 0.52], [('换卡', '损坏'), 0.2], [('储蓄卡', '手续费'), 0.12], [('储蓄卡', '损坏'), 0.08], [('手续费', '损坏'), 0.04], [('手续费', '换卡'), 0.04]]"
49,50,个体户如何申请办理信用卡,个体户|如何|申请|办理|信用卡|,"[[('信用卡', '申请'), 0.8461538461538461], [('信用卡', '个体户'), 0.07692307692307693], [('个体户', '申请'), 0.07692307692307693]]"
50,51,我要办卡,我|要|办卡|,"[('办卡', '要'), 1]"
51,52,是否可以在异地的网点开立《携带证》,是否|可以|在|异地|的|网点|开立|携带|证|,"[[('开立', '携带'), 0.16666666666666666], [('开立', '证'), 0.16666666666666666], [('异地', '开立'), 0.16666666666666666], [('证', '携带'), 0.16666666666666666], [('异地', '携带'), 0.16666666666666666], [('异地', '证'), 0.16666666666666666]]"
52,53,储蓄卡外币现钞取款规定,储蓄卡|外币|现钞|取款|规定|,"[[('外币', '现钞'), 0.26666666666666666], [('储蓄卡', '取款'), 0.26666666666666666], [('现钞', '取款'), 0.13333333333333333], [('储蓄卡', '外币'), 0.13333333333333333], [('外币', '取款'), 0.13333333333333333], [('储蓄卡', '现钞'), 0.06666666666666667]]"
53,54,信用卡外币现钞取款规定,信用卡|外币|现钞|取款|规定|,"[[('外币', '现钞'), 0.36363636363636365], [('现钞', '取款'), 0.18181818181818182], [('外币', '取款'), 0.18181818181818182], [('信用卡', '现钞'), 0.09090909090909091], [('信用卡', '取款'), 0.09090909090909091], [('信用卡', '外币'), 0.09090909090909091]]"
54,55,外币存款的规定,外币存款|的|规定|,"[('外币存款', '规定'), 1]"
55,56,（借记卡）能够办理哪些业务,借记卡|能够|办理|哪些|业务|,"[[('办理', '业务'), 0.75], [('办理', '借记卡'), 0.125], [('借记卡', '业务'), 0.125]]"
56,57,外币现钞存现的基本规定,外币|现钞|存现|的|基本|规定|,"[[('外币', '现钞'), 0.36363636363636365], [('现钞', '规定'), 0.18181818181818182], [('外币', '规定'), 0.18181818181818182], [('现钞', '存现'), 0.09090909090909091], [('规定', '存现'), 0.09090909090909091], [('外币', '存现'), 0.09090909090909091]]"
57,58,存款利息税的规定,存款|利息税|的|规定|,"[[('存款', '利息税'), 0.3333333333333333], [('利息税', '规定'), 0.3333333333333333], [('存款', '规定'), 0.3333333333333333]]"
58,59,定期种类有哪些,定期|种类|有|哪些|,"[('定期', '种类'), 1]"
