Node,Depth,FatherNode
查询,1,ROOT
账户,1,ROOT
贷记卡,1,ROOT
借记卡,1,ROOT
铂金卡,1,ROOT
金卡,1,ROOT
普卡,1,ROOT
判断,1,ROOT
等级,1,ROOT
卡号,1,ROOT
存折,1,ROOT
银行,1,ROOT
账号,1,ROOT
位数,1,ROOT
个人版,1,ROOT
流程,1,ROOT
普通版,1,ROOT
卡片状态,1,ROOT
手机银行,1,ROOT
账单,1,ROOT
注意事项,1,ROOT
明细,1,ROOT
历史账单,1,ROOT
还款,1,ROOT
手机,1,ROOT
自动还款,1,ROOT
功能,1,ROOT
设置,1,ROOT
没有,1,ROOT
短信通知,1,ROOT
收到,1,ROOT
开通,1,ROOT
服务,1,ROOT
办理,1,ROOT
时间范围,1,ROOT
币种,1,ROOT
支持,1,ROOT
境外,1,ROOT
购汇,1,ROOT
人民币兑换,1,ROOT
居民,1,ROOT
户口本,1,ROOT
未成年人,1,ROOT
境内个人,1,ROOT
可以,1,ROOT
限制,1,ROOT
最低金额,1,ROOT
业务,1,ROOT
申请,1,ROOT
新客户,1,ROOT
换卡,1,ROOT
手续费,1,ROOT
损坏,1,ROOT
个体户,1,ROOT
取款,1,ROOT
现钞,1,ROOT
规定,1,ROOT
存现,1,ROOT
介绍,1,ROOT
零存整取,1,ROOT
开户,1,ROOT
续存,1,ROOT
通知,1,ROOT
如何,1,ROOT
取消,1,ROOT
活期,1,ROOT
通知存款,1,ROOT
个人,1,ROOT
标准,1,ROOT
收取,1,ROOT
利息,1,ROOT
收费,1,ROOT
预借现金,1,ROOT
取现,1,ROOT
额度,1,ROOT
限额,1,ROOT
开卡,1,ROOT
免息期,1,ROOT
最长,1,ROOT
还款日,1,ROOT
当期账单,1,ROOT
账单日,1,ROOT
查看,1,ROOT
到期还款日,1,ROOT
修改,1,ROOT
账单周期,1,ROOT
补扣,1,ROOT
冲账,1,ROOT
顺序,1,ROOT
时效,1,ROOT
入账,1,ROOT
ATM,1,ROOT
退税,1,ROOT
换算,1,ROOT
汇率,1,ROOT
小额免签,1,ROOT
银联,1,ROOT
原因,1,ROOT
失败,1,ROOT
刷卡,1,ROOT
网上支付,1,ROOT
恢复,1,ROOT
停卡,1,ROOT
复卡,1,ROOT
操作,1,ROOT
方法,1,ROOT
综合,1,ROOT
补寄,1,ROOT
综合对账单,1,ROOT
协议,1,ROOT
时间,1,ROOT
寄送,1,ROOT
邮箱,1,ROOT
删除,1,ROOT
打印,1,ROOT
何时能,1,ROOT
方式,1,ROOT
起存金额,1,ROOT
存期,1,ROOT
智能定期,1,ROOT
计息规则,1,ROOT
格式,1,ROOT
失败原因,1,ROOT
网上,1,ROOT
疑问,1,ROOT
订单号,1,ROOT
流水号,1,ROOT
网上交易,1,ROOT
交易密码,1,ROOT
查询密码,1,ROOT
重设,1,ROOT
的方式,1,ROOT
密码,1,ROOT
附属卡,1,ROOT
修改方式,1,ROOT
挂失,1,ROOT
渠道,1,ROOT
异地,1,ROOT
到账时间,1,ROOT
跨行,1,ROOT
转账汇款,1,ROOT
不还,1,ROOT
转账,1,ROOT
区别,1,ROOT
核发,1,ROOT
到账,1,ROOT
无卡取款,1,ROOT
撤销,1,ROOT
作用,1,ROOT
适用范围,1,ROOT
失卡保障,1,ROOT
ApplePay,1,ROOT
绑定,1,ROOT
积分,1,ROOT
使用,1,ROOT
规则,1,ROOT
紧急,1,ROOT
替代卡,1,ROOT
全币种,1,ROOT
临时额度,1,ROOT
年费,1,ROOT
合并,1,ROOT
调整,1,ROOT
