Node,Depth,FatherNode
存款,1,ROOT
单位活期存款,2,存款
单位活期存款,3,单位活期存款
单位定期存款,2,单位活期存款
单位定期存款,3,单位定期存款
单位协定存款,3,单位定期存款
单位通知存款,3,单位协定存款
单位外币存款,2,单位通知存款
单位外汇存款,3,单位外币存款
同城对公通存通兑业务,3,单位外汇存款
贷款,1,ROOT
单位贷款,2,贷款
流动资金贷款,3,单位贷款
固定资产贷款,3,流动资金贷款
担保类型贷款,2,固定资产贷款
信用贷款,3,担保类型贷款
担保贷款COLM,3,信用贷款
股票质押贷款,3,担保贷款COLM
仓单质押贷款,3,股票质押贷款
外汇质押贷款,3,仓单质押贷款
单位定期存单质押贷款,3,外汇质押贷款
票据,1,ROOT
贴现,2,票据
银行承兑汇票贴现,3,贴现
商业承兑汇票贴现,3,银行承兑汇票贴现
买方或协议付息票据贴现,3,商业承兑汇票贴现
贸易融资贷款,2,买方或协议付息票据贴现
有追索权国内保理,3,贸易融资贷款
银团贷款,3,有追索权国内保理
进出口贸易融资,3,银团贷款
出口押汇,3,进出口贸易融资
进口押汇,3,出口押汇
国际结算,1,ROOT
信用证,2,国际结算
出口信用证项下外汇票据贴现,3,信用证
信用证打包贷款,3,出口信用证项下外汇票据贴现
提货担保,2,信用证打包贷款
出口退税账户托管贷款,2,提货担保
福费廷,2,出口退税账户托管贷款
黄金质押贷款业务,3,福费廷
银行汇票,2,黄金质押贷款业务
银行本票,2,银行汇票
交易,1,ROOT
汇款,2,交易
汇款,3,汇款
托收承付,2,汇款
托收,2,托收承付
信用证,3,托收
外汇,2,信用证
结售汇,3,外汇
委托收款,2,结售汇
委托贷款,2,委托收款
委托贷款,3,委托贷款
代客外汇买卖,3,委托贷款
承兑汇票,2,代客外汇买卖
银行承兑汇票,3,承兑汇票
保兑仓业务,3,银行承兑汇票
保函,1,ROOT
（人民币非融资）保函,2,保函
中间业务,1,ROOT
企业财务顾问,2,中间业务
企业信息咨询,2,企业财务顾问
个人活期存款,2,企业信息咨询
人民币活期储蓄存款,3,个人活期存款
个人定期存款,2,人民币活期储蓄存款
人民币整存整取定期储蓄存款,3,个人定期存款
人民币零存整取定期储蓄存款,3,人民币整存整取定期储蓄存款
人民币整存零取定期储蓄存款,3,人民币零存整取定期储蓄存款
人民币存本取息定期储蓄存款,3,人民币整存零取定期储蓄存款
人民币定活两便储蓄存款,3,人民币存本取息定期储蓄存款
个人通知存款,3,人民币定活两便储蓄存款
教育储蓄存款,3,个人通知存款
外币现钞活期储蓄存款,3,教育储蓄存款
外币现汇活期储蓄存款,3,外币现钞活期储蓄存款
外币现钞整存整取定期储蓄存款,3,外币现汇活期储蓄存款
外币现汇整存整取定期储蓄存款,3,外币现钞整存整取定期储蓄存款
活期储蓄异地通存通兑,3,外币现汇整存整取定期储蓄存款
个人消费性贷款,2,活期储蓄异地通存通兑
个人定期储蓄存款存单小额质押贷款,3,个人消费性贷款
凭证式国债质押贷款,3,个人定期储蓄存款存单小额质押贷款
个人综合消费贷款,3,凭证式国债质押贷款
个人经营性贷款,2,个人综合消费贷款
个体工商户贷款,3,个人经营性贷款
教育助学贷款,3,个体工商户贷款
个人大额耐用消费品贷款,3,教育助学贷款
个人汽车消费贷款,3,个人大额耐用消费品贷款
个人住房担保贷款,3,个人汽车消费贷款
个人房屋按揭贷款,3,个人住房担保贷款
个人房屋加按揭贷款,3,个人房屋按揭贷款
个人房屋转按揭贷款,3,个人房屋加按揭贷款
华夏卡自助贷款,3,个人房屋转按揭贷款
个人异地汇款,3,华夏卡自助贷款
存款业务办理,2,个人异地汇款
储蓄存款异地托收,3,存款业务办理
个人支票,2,储蓄存款异地托收
银行卡,1,ROOT
储蓄卡,2,银行卡
华夏个人借记卡,3,储蓄卡
华夏联名/认同卡,3,华夏个人借记卡
华夏丽人卡,3,华夏联名/认同卡
华夏万通卡,3,华夏丽人卡
华夏单位卡,3,华夏万通卡
结算,2,华夏单位卡
特约商户结算,3,结算
代理业务,2,特约商户结算
代理凭证式国债业务,3,代理业务
代理外卡收单,3,代理凭证式国债业务
第三方存管,1,ROOT
银证转账,2,第三方存管
银证通,2,银证转账
信托资金代理收付,3,银证通
代理保险,3,信托资金代理收付
代收代付业务,2,代理保险
代发工资,3,代收代付业务
代收费,3,代发工资
代理销售,3,代收费
代理外币旅行支票,3,代理销售
个人消费履约保函,2,代理外币旅行支票
个人存款证明,3,个人消费履约保函
代保管,2,个人存款证明
保管箱业务,2,代保管
人民币零钞兑换,2,保管箱业务
外币现钞兑换,2,人民币零钞兑换
同业存款,2,外币现钞兑换
同业存款,3,同业存款
协议存款,3,同业存款
资金业务,1,ROOT
同业拆借,2,资金业务
同业拆借（人民币）,3,同业拆借
同业拆借（外币）,3,同业拆借（人民币）
信贷资产转让,2,同业拆借（外币）
买卖政府债券,2,信贷资产转让
买卖金融债券,2,买卖政府债券
买卖央行票据,2,买卖金融债券
债券质押式回购业务,2,买卖央行票据
债券买断式回购,2,债券质押式回购业务
银行承兑汇票转贴现,3,债券买断式回购
商业承兑汇票转贴现,3,银行承兑汇票转贴现
商业汇票再贴现,3,商业承兑汇票转贴现
票据回购,3,商业汇票再贴现
债券质押融资业务,2,票据回购
证券交易结算资金存管业务,2,债券质押融资业务
贷款业务办理,2,证券交易结算资金存管业务
代理政策性银行贷款业务,3,贷款业务办理
代理资金清算,3,代理政策性银行贷款业务
代理签发银行汇票业务,3,代理资金清算
债券结算代理业务,3,代理签发银行汇票业务
外国政府贷款转贷款,3,债券结算代理业务
银行渠道,1,ROOT
自助银行,2,银行渠道
自助银行,3,自助银行
电话银行,2,自助银行
客户服务中心,3,电话银行
网上银行,2,客户服务中心
网上企业银行,3,网上银行
网上集团服务,3,网上企业银行
网上个人银行,3,网上集团服务
客户业务,1,ROOT
普通客户,1,ROOT
手机短信服务,3,普通客户
企业展示平台,1,ROOT
数字证书跨行通用,3,企业展示平台
普通活期储蓄,3,数字证书跨行通用
定期储蓄整存整取,3,普通活期储蓄
人民币零存整取,3,定期储蓄整存整取
定期储蓄存本取息,3,人民币零存整取
人民币通知存款,3,定期储蓄存本取息
教育储蓄,3,人民币通知存款
活期一本通,3,教育储蓄
定期一本通,3,活期一本通
电话银行,3,定期一本通
通信存款,2,电话银行
通信存款,3,通信存款
储蓄存款挂失业务,3,通信存款
存款证明,3,储蓄存款挂失业务
实名制,1,ROOT
长期不动户,1,ROOT
利息税,1,ROOT
外币,1,ROOT
代收代付业务,3,外币
AB股银证转账,2,代收代付业务
“银券通”业务,1,ROOT
基金业务,1,ROOT
个人实盘外汇买卖,2,基金业务
凭证式国债,2,个人实盘外汇买卖
记账式国债,2,凭证式国债
外币兑换相关业务规定,2,记账式国债
光票托收,1,ROOT
外汇携带证,2,光票托收
长城电子借记卡,3,外汇携带证
生肖卡（限北京分行）,3,长城电子借记卡
信用卡,2,生肖卡（限北京分行）
长城人民币信用卡,3,信用卡
银联标识长城人民币信用卡,3,长城人民币信用卡
中银消费信贷记录卡（目前仅限北京分行）,3,银联标识长城人民币信用卡
庄胜崇光中银信贷消费卡(目前仅限北京分行),3,中银消费信贷记录卡（目前仅限北京分行）
长城国际卡业务,3,庄胜崇光中银信贷消费卡(目前仅限北京分行)
代理卡业务,3,长城国际卡业务
零售贷款,3,代理卡业务
个人住房贷款,3,零售贷款
个人住房公积金贷款,3,个人住房贷款
个人二手住房贷款业务,3,个人住房公积金贷款
