场景大类,场景小类,场景子类
存款,单位活期存款,单位活期存款
存款,单位定期存款,单位定期存款
存款,单位定期存款,单位协定存款
存款,单位定期存款,单位通知存款
存款,单位外币存款,单位外汇存款
存款,单位定期存款,同城对公通存通兑业务
贷款,单位贷款,流动资金贷款
贷款,单位贷款,固定资产贷款
贷款,担保类型贷款,信用贷款
贷款,担保类型贷款,担保贷款COLM
贷款,担保类型贷款,股票质押贷款
贷款,担保类型贷款,仓单质押贷款
贷款,担保类型贷款,外汇质押贷款
贷款,担保类型贷款,单位定期存单质押贷款
票据,贴现,银行承兑汇票贴现
票据,贴现,商业承兑汇票贴现
票据,贴现,买方或协议付息票据贴现
贷款,贸易融资贷款,有追索权国内保理
贷款,单位贷款,银团贷款
贷款,贸易融资贷款,进出口贸易融资
贷款,贸易融资贷款,出口押汇
贷款,贸易融资贷款,进口押汇
国际结算,信用证,出口信用证项下外汇票据贴现
贷款,贸易融资贷款,信用证打包贷款
国际结算,,提货担保
国际结算,,出口退税账户托管贷款
国际结算,,福费廷
贷款,担保类型贷款,黄金质押贷款业务
票据,,银行汇票
票据,,银行本票
交易,汇款,汇款
交易,,托收承付
交易,,托收
国际结算,信用证,信用证
国际结算,外汇,结售汇
交易,,委托收款
贷款,委托贷款,委托贷款
国际结算,外汇,代客外汇买卖
票据,承兑汇票,银行承兑汇票
票据,承兑汇票,保兑仓业务
,保函,（人民币非融资）保函
中间业务,,企业财务顾问
中间业务,,企业信息咨询
存款,个人活期存款,人民币活期储蓄存款
存款,个人定期存款,人民币整存整取定期储蓄存款
存款,个人定期存款,人民币零存整取定期储蓄存款
存款,个人定期存款,人民币整存零取定期储蓄存款
存款,个人定期存款,人民币存本取息定期储蓄存款
存款,个人定期存款,人民币定活两便储蓄存款
存款,个人定期存款,个人通知存款
存款,个人定期存款,教育储蓄存款
存款,个人活期存款,外币现钞活期储蓄存款
存款,个人活期存款,外币现汇活期储蓄存款
存款,个人活期存款,外币现钞整存整取定期储蓄存款
存款,个人活期存款,外币现汇整存整取定期储蓄存款
存款,个人定期存款,活期储蓄异地通存通兑
贷款,个人消费性贷款,个人定期储蓄存款存单小额质押贷款
贷款,担保类型贷款,凭证式国债质押贷款
贷款,个人消费性贷款,个人综合消费贷款
贷款,个人经营性贷款,个体工商户贷款
贷款,个人消费性贷款,教育助学贷款
贷款,个人消费性贷款,个人大额耐用消费品贷款
贷款,个人消费性贷款,个人汽车消费贷款
贷款,个人消费性贷款,个人住房担保贷款
贷款,个人消费性贷款,个人房屋按揭贷款
贷款,个人消费性贷款,个人房屋加按揭贷款
贷款,个人消费性贷款,个人房屋转按揭贷款
贷款,担保类型贷款,华夏卡自助贷款
交易,汇款,个人异地汇款
存款,存款业务办理,储蓄存款异地托收
票据,,个人支票
银行卡,储蓄卡,华夏个人借记卡
银行卡,储蓄卡,华夏联名/认同卡
银行卡,储蓄卡,华夏丽人卡
银行卡,储蓄卡,华夏万通卡
银行卡,储蓄卡,华夏单位卡
交易,结算,特约商户结算
中间业务,代理业务,代理凭证式国债业务
中间业务,代理业务,代理外卡收单
第三方存管,,银证转账
第三方存管,,银证通
中间业务,代理业务,信托资金代理收付
中间业务,代理业务,代理保险
中间业务,代收代付业务,代发工资
中间业务,代收代付业务,代收费
中间业务,代理业务,代理销售
中间业务,代理业务,代理外币旅行支票
,保函,个人消费履约保函
存款,存款业务办理,个人存款证明
中间业务,,代保管
中间业务,,保管箱业务
中间业务,,人民币零钞兑换
中间业务,,外币现钞兑换
存款,同业存款,同业存款
存款,单位定期存款,协议存款
资金业务,同业拆借,同业拆借（人民币）
资金业务,同业拆借,同业拆借（外币）
资金业务,,信贷资产转让
资金业务,,买卖政府债券
资金业务,,买卖金融债券
资金业务,,买卖央行票据
资金业务,,债券质押式回购业务
资金业务,,债券买断式回购
票据,贴现,银行承兑汇票转贴现
票据,贴现,商业承兑汇票转贴现
票据,贴现,商业汇票再贴现
票据,贴现,票据回购
资金业务,,债券质押融资业务
资金业务,,证券交易结算资金存管业务
贷款,贷款业务办理,代理政策性银行贷款业务
中间业务,代理业务,代理资金清算
中间业务,代理业务,代理签发银行汇票业务
中间业务,代理业务,债券结算代理业务
贷款,贷款业务办理,外国政府贷款转贷款
银行渠道,自助银行,自助银行
银行渠道,电话银行,客户服务中心
银行渠道,网上银行,网上企业银行
银行渠道,网上银行,网上集团服务
银行渠道,网上银行,网上个人银行
,,客户业务
,,普通客户
银行渠道,电话银行,手机短信服务
,,企业展示平台
银行渠道,网上银行,数字证书跨行通用
存款,个人活期存款,普通活期储蓄
存款,个人定期存款,定期储蓄整存整取
存款,个人定期存款,人民币零存整取
存款,个人定期存款,定期储蓄存本取息
存款,个人定期存款,人民币通知存款
存款,个人活期存款,教育储蓄
存款,个人活期存款,活期一本通
存款,个人定期存款,定期一本通
银行渠道,电话银行,电话银行
存款,,个人支票
存款,通信存款,通信存款
存款,存款业务办理,储蓄存款挂失业务
存款,存款业务办理,存款证明
,,实名制
,,长期不动户
,,利息税
,,外币
中间业务,代收代付业务,代收代付业务
第三方存管,,AB股银证转账
,,“银券通”业务
,,基金业务
国际结算,,个人实盘外汇买卖
资金业务,,凭证式国债
资金业务,,记账式国债
